H-1 CENSUS HOUSES AND THE USES TO WHICH THEY ARE PUT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Name,State Code,District Code,Tehsil Code,Town Code,Area Name,"Total/
Rural/
Urban","Total number
of
census houses","Total number
of 
vacant census houses","Total number 
of occupied census houses","Occupied Census Houses used as
",,,,,,,,,No. of occupied locked census houses,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Residence,"Residence
-cum-
other use","Shop/
 Office","School/
 College etc.","Hotel/
Lodge/
Guest house etc.",Hospital/ Dispensary etc.,"Factory/
Workshop/
Workshed etc.","Place
of
worship","Other
non-residential use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,000,00000,000000,STATE - NCT OF DELHI,Total," 4,605,555 "," 512,691 "," 4,092,864 "," 3,176,329 "," 137,575 "," 377,299 "," 9,709 "," 7,754 "," 7,853 "," 90,945 "," 8,668 "," 237,244 "," 39,488 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,000,00000,000000,STATE - NCT OF DELHI,Rural," 124,422 "," 22,556 "," 101,866 "," 75,234 "," 3,458 "," 3,022 ", 279 , 60 , 113 , 829 , 354 ," 17,713 ", 804 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,000,00000,000000,STATE - NCT OF DELHI,Urban," 4,481,133 "," 490,135 "," 3,990,998 "," 3,101,095 "," 134,117 "," 374,277 "," 9,430 "," 7,694 "," 7,740 "," 90,116 "," 8,314 "," 219,531 "," 38,684 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,000,00000,800441,DMC (U),Urban," 3,103,716 "," 300,392 "," 2,803,324 "," 2,146,042 "," 89,177 "," 301,691 "," 6,483 "," 6,132 "," 6,006 "," 67,822 "," 5,788 "," 145,638 "," 28,545 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,000,00000,800442,NDMC,Urban," 85,819 "," 7,221 "," 78,598 "," 54,763 ", 896 ," 12,539 ", 181 , 803 , 208 , 162 , 177 ," 7,949 ", 920 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,090,00000,000000,District - North West,Total," 1,026,867 "," 144,443 "," 882,424 "," 700,397 "," 25,801 "," 62,923 "," 2,147 ", 727 ," 1,867 "," 24,699 "," 1,910 "," 54,072 "," 7,881 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,090,00000,000000,District - North West,Rural," 67,592 "," 13,698 "," 53,894 "," 39,534 "," 1,732 "," 1,553 ", 156 , 33 , 62 , 534 , 198 ," 9,600 ", 492 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,090,00000,000000,District - North West,Urban," 959,275 "," 130,745 "," 828,530 "," 660,863 "," 24,069 "," 61,370 "," 1,991 ", 694 ," 1,805 "," 24,165 "," 1,712 "," 44,472 "," 7,389 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,090,00430,800441,DMC (U) (Part),Urban," 79,324 "," 13,730 "," 65,594 "," 50,756 "," 2,036 "," 5,325 ", 166 , 58 , 149 ," 2,457 ", 160 ," 3,961 ", 526 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,090,00431,800441,DMC (U) (Part),Urban," 395,974 "," 38,500 "," 357,474 "," 285,921 "," 8,543 "," 30,909 ", 829 , 320 , 992 ," 9,498 ", 608 ," 16,421 "," 3,433 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,090,00431,063942,Kirari Suleman Nagar (CT),Urban," 67,246 "," 10,068 "," 57,178 "," 48,923 "," 2,359 "," 2,425 ", 136 , 17 , 61 , 819 , 118 ," 2,005 ", 315 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,090,00431,063948,Sultan Pur Majra (CT),Urban," 39,386 "," 2,404 "," 36,982 "," 31,419 "," 1,129 "," 2,166 ", 59 , 17 , 59 , 897 , 83 ," 1,064 ", 89 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,090,00432,800441,DMC (U) (Part),Urban," 106,618 "," 9,339 "," 97,279 "," 79,009 "," 2,589 "," 9,400 ", 206 , 151 , 259 ," 1,111 ", 195 ," 3,228 "," 1,131 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
